,Name,Individual voxel z-score,Individual voxel Posterior prob,Seed-based network Func conn. (r),Seed-based network Meta-analytic coact. (r),x,y,z,"x, y, z"
43,amygdala insula,-0.0,0.0,0.07,-0.01,0,0,0,"0, 0, 0"
44,amygdala response,-0.0,0.54,0.08,-0.0,0,0,0,"0, 0, 0"
45,amygdala responses,-0.0,0.46,0.08,-0.0,0,0,0,"0, 0, 0"
46,anger,-0.0,0.43,0.05,-0.0,0,0,0,"0, 0, 0"
47,angry,0.0,0.17,0.06,-0.0,0,0,0,"0, 0, 0"
48,angular,0.0,0.37,0.05,-0.01,0,0,0,"0, 0, 0"
49,angular gyrus,-0.0,0.39,0.05,-0.01,0,0,0,"0, 0, 0"
50,animal,-0.0,0.52,0.02,0.03,0,0,0,"0, 0, 0"
51,animals,0.0,0.64,0.0,-0.0,0,0,0,"0, 0, 0"
52,anterior,0.0,0.48,0.1,-0.0,0,0,0,"0, 0, 0"
53,anterior cingulate,-0.0,0.48,0.14,-0.0,0,0,0,"0, 0, 0"
54,anterior hippocampus,0.0,0.46,0.13,-0.01,0,0,0,"0, 0, 0"
55,anterior insula,0.0,0.35,-0.03,-0.0,0,0,0,"0, 0, 0"
56,anterior insular,-0.0,0.27,-0.04,-0.01,0,0,0,"0, 0, 0"
57,anterior intraparietal,0.0,0.61,-0.08,-0.01,0,0,0,"0, 0, 0"
58,anterior medial,0.0,0.44,0.07,-0.0,0,0,0,"0, 0, 0"
59,anterior posterior,-0.0,0.63,0.04,-0.0,0,0,0,"0, 0, 0"
60,anterior prefrontal,0.0,-0.0,-0.0,-0.01,0,0,0,"0, 0, 0"
61,anterior superior,0.0,0.27,-0.03,-0.0,0,0,0,"0, 0, 0"
62,anterior temporal,-0.0,0.58,0.08,-0.01,0,0,0,"0, 0, 0"
63,anticipation,-0.0,0.5,0.15,0.1,0,0,0,"0, 0, 0"
64,anticipatory,0.0,0.56,0.05,0.01,0,0,0,"0, 0, 0"
65,anxiety,-0.0,0.56,0.06,-0.0,0,0,0,"0, 0, 0"
66,anxiety disorders,-0.0,0.41,0.03,-0.0,0,0,0,"0, 0, 0"
67,aphasia,0.0,0.74,-0.01,-0.01,0,0,0,"0, 0, 0"
68,appraisal,-0.0,0.44,0.01,-0.0,0,0,0,"0, 0, 0"
69,approach,,0.56,0.0,0.0,0,0,0,"0, 0, 0"
70,arithmetic,0.0,0.41,-0.04,-0.01,0,0,0,"0, 0, 0"
71,arm,0.0,0.62,-0.02,-0.01,0,0,0,"0, 0, 0"
72,arousal,-0.0,0.44,0.08,0.05,0,0,0,"0, 0, 0"
73,arterial,0.0,0.62,0.0,-0.0,0,0,0,"0, 0, 0"
74,arterial spin,-0.0,0.59,0.0,-0.0,0,0,0,"0, 0, 0"
75,articulatory,0.0,0.54,-0.05,0.0,0,0,0,"0, 0, 0"
76,asd,0.0,0.19,0.03,-0.01,0,0,0,"0, 0, 0"
77,association,0.0,0.4,0.0,0.0,0,0,0,"0, 0, 0"
78,associations,0.0,0.43,0.0,-0.0,0,0,0,"0, 0, 0"
79,associative,0.0,0.36,0.09,-0.0,0,0,0,"0, 0, 0"
80,asymmetry,-0.0,0.49,-0.0,-0.0,0,0,0,"0, 0, 0"
81,atrophy,0.0,0.49,0.03,-0.01,0,0,0,"0, 0, 0"
82,attend,-0.0,0.29,-0.0,-0.0,0,0,0,"0, 0, 0"
83,attended,-0.0,0.18,-0.03,-0.0,0,0,0,"0, 0, 0"
84,attending,0.0,-0.0,-0.02,-0.0,0,0,0,"0, 0, 0"
85,attention,0.0,0.36,-0.08,-0.01,0,0,0,"0, 0, 0"
86,attention deficit,0.0,0.4,-0.0,-0.0,0,0,0,"0, 0, 0"
87,attention network,0.0,-0.0,-0.02,-0.01,0,0,0,"0, 0, 0"
88,attention task,0.0,0.26,-0.01,-0.0,0,0,0,"0, 0, 0"
89,attentional,0.0,0.34,-0.08,-0.01,0,0,0,"0, 0, 0"
90,attentional control,-0.0,0.19,-0.0,-0.0,0,0,0,"0, 0, 0"
91,attenuation,0.0,0.31,-0.0,-0.0,0,0,0,"0, 0, 0"
92,audiovisual,-0.0,0.22,-0.08,-0.01,0,0,0,"0, 0, 0"
93,auditory,-0.0,0.5,-0.1,-0.01,0,0,0,"0, 0, 0"
94,auditory cortex,-0.0,0.52,-0.07,-0.01,0,0,0,"0, 0, 0"
95,auditory stimuli,0.0,0.37,-0.05,-0.01,0,0,0,"0, 0, 0"
96,auditory visual,-0.0,0.3,-0.06,-0.01,0,0,0,"0, 0, 0"
97,autism,-0.0,0.29,0.03,-0.0,0,0,0,"0, 0, 0"
98,autism spectrum,-0.0,0.28,0.04,-0.0,0,0,0,"0, 0, 0"
99,autobiographical,-0.0,0.59,0.26,-0.01,0,0,0,"0, 0, 0"
100,autobiographical memory,-0.0,0.62,0.2,-0.01,0,0,0,"0, 0, 0"
101,autonomic,-0.0,0.54,0.0,-0.01,0,0,0,"0, 0, 0"
102,aversive,-0.0,0.3,0.11,0.02,0,0,0,"0, 0, 0"
103,avoid,-0.0,0.62,-0.01,-0.0,0,0,0,"0, 0, 0"
104,avoidance,-0.0,0.54,0.09,0.07,0,0,0,"0, 0, 0"
105,awareness,0.0,0.26,-0.01,-0.0,0,0,0,"0, 0, 0"
106,ba,0.0,0.33,0.02,-0.0,0,0,0,"0, 0, 0"
107,ba 44,0.0,0.44,0.02,-0.0,0,0,0,"0, 0, 0"
108,balance,0.0,0.4,-0.02,-0.0,0,0,0,"0, 0, 0"
109,basal,0.0,0.6,0.18,0.03,0,0,0,"0, 0, 0"
110,basal ganglia,-0.0,0.56,0.18,0.01,0,0,0,"0, 0, 0"
111,baseline,0.0,0.46,0.0,0.0,0,0,0,"0, 0, 0"
112,behavior,-0.0,0.41,0.07,0.01,0,0,0,"0, 0, 0"
113,behavioral,0.0,0.4,0.0,-0.0,0,0,0,"0, 0, 0"
114,behavioral measures,-0.0,0.58,-0.0,-0.0,0,0,0,"0, 0, 0"
115,behavioral performance,-0.0,0.3,-0.0,-0.0,0,0,0,"0, 0, 0"
116,behavioral responses,-0.0,0.27,0.01,0.0,0,0,0,"0, 0, 0"
117,behaviors,0.0,0.55,0.05,0.17,0,0,0,"0, 0, 0"
118,belief,0.0,0.45,0.03,-0.01,0,0,0,"0, 0, 0"
119,beliefs,-0.0,-0.0,0.06,-0.01,0,0,0,"0, 0, 0"
120,beta,4.91,0.78,0.04,0.04,0,0,0,"0, 0, 0"
121,bias,-0.0,0.35,0.0,0.0,0,0,0,"0, 0, 0"
122,bilaterally,-0.0,0.3,-0.0,-0.0,0,0,0,"0, 0, 0"
123,bilinguals,0.0,0.47,-0.02,-0.0,0,0,0,"0, 0, 0"
124,binding,0.0,0.32,0.02,-0.0,0,0,0,"0, 0, 0"
125,biomarker,-0.0,0.69,0.02,-0.0,0,0,0,"0, 0, 0"
126,biomarkers,0.0,0.3,-0.0,-0.0,0,0,0,"0, 0, 0"
127,bipolar,0.0,0.39,0.0,-0.0,0,0,0,"0, 0, 0"
128,bipolar disorder,0.0,0.34,-0.01,0.01,0,0,0,"0, 0, 0"
129,blind,-0.0,0.45,-0.02,-0.0,0,0,0,"0, 0, 0"
130,bodily,0.0,0.58,-0.01,-0.0,0,0,0,"0, 0, 0"
131,body,0.0,0.52,-0.08,-0.0,0,0,0,"0, 0, 0"
132,brains,-0.0,0.52,-0.01,-0.0,0,0,0,"0, 0, 0"
133,brainstem,0.0,0.44,0.01,-0.0,0,0,0,"0, 0, 0"
134,broca,-0.0,0.51,-0.02,-0.01,0,0,0,"0, 0, 0"
135,brodmann,-0.0,0.46,0.0,-0.0,0,0,0,"0, 0, 0"
136,button,-0.0,0.44,0.01,-0.0,0,0,0,"0, 0, 0"
137,calculation,0.0,0.31,-0.08,-0.01,0,0,0,"0, 0, 0"
138,callosum,-0.0,0.5,0.03,0.01,0,0,0,"0, 0, 0"
139,capacity,0.0,0.31,0.0,-0.0,0,0,0,"0, 0, 0"
140,capture,-0.0,0.27,-0.0,-0.0,0,0,0,"0, 0, 0"
141,categorical,0.0,0.37,-0.0,-0.0,0,0,0,"0, 0, 0"
142,categories,-0.0,0.32,-0.0,-0.0,0,0,0,"0, 0, 0"
143,categorization,0.0,0.51,-0.01,-0.0,0,0,0,"0, 0, 0"
144,category,-0.0,0.36,-0.0,-0.0,0,0,0,"0, 0, 0"
145,caudal,-0.0,0.67,-0.04,-0.0,0,0,0,"0, 0, 0"
146,caudate,0.0,0.48,0.16,0.1,0,0,0,"0, 0, 0"
147,caudate nucleus,-0.0,0.42,0.13,0.04,0,0,0,"0, 0, 0"
148,cerebellar,-0.0,0.56,-0.01,-0.02,0,0,0,"0, 0, 0"
149,cerebellum,0.0,0.55,-0.03,-0.02,0,0,0,"0, 0, 0"
150,cerebral,0.0,0.62,0.0,-0.0,0,0,0,"0, 0, 0"
151,cerebral cortex,0.0,0.79,-0.0,-0.0,0,0,0,"0, 0, 0"
152,character,0.0,0.23,-0.0,-0.0,0,0,0,"0, 0, 0"
153,characters,0.0,0.0,-0.04,-0.01,0,0,0,"0, 0, 0"
154,childhood,0.0,0.5,0.0,-0.0,0,0,0,"0, 0, 0"
155,children,-0.0,0.58,-0.0,-0.0,0,0,0,"0, 0, 0"
156,chinese,0.0,0.24,-0.03,-0.01,0,0,0,"0, 0, 0"
157,choice,0.0,0.51,0.05,0.01,0,0,0,"0, 0, 0"
158,choices,-0.0,0.15,0.05,0.01,0,0,0,"0, 0, 0"
159,choose,-0.0,0.31,0.0,-0.0,0,0,0,"0, 0, 0"
160,chosen,0.0,0.46,0.01,-0.0,0,0,0,"0, 0, 0"
161,chronic,0.0,0.56,-0.01,-0.0,0,0,0,"0, 0, 0"
162,chronic pain,-0.0,0.42,0.0,-0.0,0,0,0,"0, 0, 0"
163,cingulate,-0.0,0.46,0.21,-0.0,0,0,0,"0, 0, 0"
164,cingulate cortex,0.0,0.46,0.19,-0.0,0,0,0,"0, 0, 0"
165,cingulate cortices,-0.0,0.56,0.02,-0.01,0,0,0,"0, 0, 0"
166,cingulate gyrus,0.0,0.46,0.03,-0.0,0,0,0,"0, 0, 0"
167,classical,-0.0,0.54,-0.01,-0.0,0,0,0,"0, 0, 0"
168,cognition,-0.0,0.4,0.04,-0.0,0,0,0,"0, 0, 0"
169,cognitive,0.0,0.46,0.02,-0.0,0,0,0,"0, 0, 0"
170,cognitive control,-0.0,0.31,-0.02,-0.0,0,0,0,"0, 0, 0"
171,cognitive deficits,0.0,0.7,0.01,0.0,0,0,0,"0, 0, 0"
172,cognitive emotional,-0.0,0.55,-0.02,-0.0,0,0,0,"0, 0, 0"
173,cognitive function,0.0,0.51,0.0,-0.0,0,0,0,"0, 0, 0"
174,cognitive functions,0.0,0.26,-0.01,-0.0,0,0,0,"0, 0, 0"
175,cognitive impairment,0.0,0.5,0.06,-0.0,0,0,0,"0, 0, 0"
176,cognitive performance,-0.0,0.68,-0.01,-0.0,0,0,0,"0, 0, 0"
177,cognitive processes,0.0,0.47,-0.01,-0.0,0,0,0,"0, 0, 0"
178,cognitive task,0.0,0.0,0.03,-0.0,0,0,0,"0, 0, 0"
179,cognitive tasks,0.0,0.38,0.01,-0.0,0,0,0,"0, 0, 0"
180,cognitively,-0.0,0.38,-0.0,-0.0,0,0,0,"0, 0, 0"
181,coherence,-0.0,0.67,0.0,0.0,0,0,0,"0, 0, 0"
182,color,-0.0,0.22,-0.03,-0.0,0,0,0,"0, 0, 0"
183,communication,0.0,0.5,-0.02,-0.0,0,0,0,"0, 0, 0"
184,compensate,-0.0,0.41,-0.0,-0.0,0,0,0,"0, 0, 0"
185,compensation,0.0,0.27,-0.03,-0.01,0,0,0,"0, 0, 0"
186,compensatory,0.0,0.34,0.0,-0.0,0,0,0,"0, 0, 0"
187,competing,-0.0,0.56,-0.02,-0.0,0,0,0,"0, 0, 0"
188,competition,0.0,0.0,-0.0,-0.0,0,0,0,"0, 0, 0"
189,complex,0.0,0.49,-0.02,-0.0,0,0,0,"0, 0, 0"
190,complexity,0.0,0.51,-0.04,-0.0,0,0,0,"0, 0, 0"
191,comprehension,-0.0,0.24,-0.02,-0.01,0,0,0,"0, 0, 0"
192,compulsive,-0.0,0.55,0.0,-0.0,0,0,0,"0, 0, 0"
193,compulsive disorder,0.0,0.59,0.0,0.0,0,0,0,"0, 0, 0"
194,computation,0.0,0.65,0.01,-0.0,0,0,0,"0, 0, 0"
195,concentration,-0.0,0.75,0.02,0.03,0,0,0,"0, 0, 0"
196,concept,0.0,0.5,0.0,-0.0,0,0,0,"0, 0, 0"
197,concepts,0.0,0.43,0.02,-0.0,0,0,0,"0, 0, 0"
198,conceptual,-0.0,0.41,0.01,-0.0,0,0,0,"0, 0, 0"
199,concrete,-0.0,0.25,0.02,-0.0,0,0,0,"0, 0, 0"
200,concurrent,0.0,0.64,-0.01,-0.0,0,0,0,"0, 0, 0"
201,concurrently,-0.0,0.25,-0.01,-0.0,0,0,0,"0, 0, 0"
202,conditioned,0.0,0.46,0.02,-0.01,0,0,0,"0, 0, 0"
203,conditioning,0.0,0.29,0.03,-0.01,0,0,0,"0, 0, 0"
204,conductance,-0.0,0.52,0.05,-0.01,0,0,0,"0, 0, 0"
205,confidence,0.0,0.56,0.03,-0.0,0,0,0,"0, 0, 0"
206,conflict,0.0,0.28,-0.01,-0.0,0,0,0,"0, 0, 0"
207,conflicting,0.0,0.64,-0.01,-0.0,0,0,0,"0, 0, 0"
208,confounding,0.0,0.51,-0.01,-0.0,0,0,0,"0, 0, 0"
209,congruency,0.0,-0.0,-0.02,-0.0,0,0,0,"0, 0, 0"
210,congruent,0.0,0.38,-0.01,-0.0,0,0,0,"0, 0, 0"
211,congruent incongruent,0.0,0.28,-0.02,-0.0,0,0,0,"0, 0, 0"
212,conjunction,-0.0,0.25,-0.01,-0.0,0,0,0,"0, 0, 0"
213,connectivity,0.0,0.46,0.11,-0.01,0,0,0,"0, 0, 0"
214,conscious,-0.0,0.36,0.02,-0.0,0,0,0,"0, 0, 0"
215,consciousness,-0.0,0.58,-0.01,-0.0,0,0,0,"0, 0, 0"
216,consecutive,0.0,0.27,-0.0,-0.0,0,0,0,"0, 0, 0"
217,consistency,-0.0,0.56,0.0,-0.0,0,0,0,"0, 0, 0"
218,consolidation,-0.0,0.28,0.02,-0.0,0,0,0,"0, 0, 0"
219,constraints,-0.0,0.77,-0.0,-0.0,0,0,0,"0, 0, 0"
220,construction,0.0,0.68,0.11,-0.01,0,0,0,"0, 0, 0"
221,consumption,0.0,0.0,-0.01,-0.0,0,0,0,"0, 0, 0"
222,context,0.0,0.28,0.0,0.0,0,0,0,"0, 0, 0"
223,contexts,-0.0,0.37,0.02,-0.0,0,0,0,"0, 0, 0"
224,contextual,-0.0,0.31,0.02,-0.0,0,0,0,"0, 0, 0"
225,contralateral,-0.0,0.64,-0.08,-0.01,0,0,0,"0, 0, 0"
226,control,0.0,0.42,-0.03,-0.0,0,0,0,"0, 0, 0"
227,control network,0.0,0.38,0.0,-0.0,0,0,0,"0, 0, 0"
228,control processes,-0.0,0.39,-0.0,-0.0,0,0,0,"0, 0, 0"
229,control task,0.0,0.28,0.0,-0.0,0,0,0,"0, 0, 0"
230,controlled,0.0,0.51,0.0,-0.0,0,0,0,"0, 0, 0"
231,controlling,-0.0,0.61,-0.0,-0.0,0,0,0,"0, 0, 0"
232,controls,0.0,0.48,0.04,0.0,0,0,0,"0, 0, 0"
233,coordination,0.0,0.31,-0.04,-0.01,0,0,0,"0, 0, 0"
234,core,-0.0,0.6,0.01,-0.0,0,0,0,"0, 0, 0"
235,corpus,-0.0,0.49,0.03,0.01,0,0,0,"0, 0, 0"
236,corpus callosum,-0.0,0.5,0.03,0.01,0,0,0,"0, 0, 0"
237,correct,0.0,0.39,0.0,-0.0,0,0,0,"0, 0, 0"
238,correction,0.0,0.71,-0.01,-0.0,0,0,0,"0, 0, 0"
239,correctly,0.0,0.54,0.01,-0.0,0,0,0,"0, 0, 0"
240,cortex acc,0.0,0.33,0.1,-0.01,0,0,0,"0, 0, 0"
241,cortex amygdala,-0.0,0.24,0.08,0.0,0,0,0,"0, 0, 0"
242,cortex anterior,0.0,0.54,0.03,-0.0,0,0,0,"0, 0, 0"
243,cortex ba,0.0,0.28,0.0,-0.0,0,0,0,"0, 0, 0"
244,cortex bilaterally,0.0,0.0,-0.01,-0.0,0,0,0,"0, 0, 0"
245,cortex cerebellum,-0.0,0.58,-0.02,-0.01,0,0,0,"0, 0, 0"
246,cortex dacc,0.0,0.45,0.02,-0.0,0,0,0,"0, 0, 0"
247,cortex dlpfc,0.0,0.3,-0.04,-0.0,0,0,0,"0, 0, 0"
248,cortex dmpfc,0.0,0.46,0.03,-0.0,0,0,0,"0, 0, 0"
249,cortex dorsal,-0.0,0.27,-0.0,-0.0,0,0,0,"0, 0, 0"
250,cortex dorsolateral,-0.0,0.31,-0.02,-0.0,0,0,0,"0, 0, 0"
251,cortex frontal,0.0,0.69,0.01,-0.0,0,0,0,"0, 0, 0"
252,cortex hippocampus,-0.0,0.57,0.04,-0.01,0,0,0,"0, 0, 0"
253,cortex inferior,-0.0,0.51,-0.01,-0.0,0,0,0,"0, 0, 0"
254,cortex insula,0.0,0.42,-0.02,-0.0,0,0,0,"0, 0, 0"
255,cortex involved,0.0,0.49,-0.01,-0.0,0,0,0,"0, 0, 0"
256,cortex lateral,-0.0,0.44,-0.02,-0.0,0,0,0,"0, 0, 0"
257,cortex m1,0.0,0.63,-0.02,0.01,0,0,0,"0, 0, 0"
258,cortex medial,-0.0,0.18,0.01,-0.0,0,0,0,"0, 0, 0"
259,cortex middle,0.0,0.5,0.01,-0.0,0,0,0,"0, 0, 0"
260,cortex mpfc,0.0,0.43,0.12,-0.01,0,0,0,"0, 0, 0"
261,cortex ofc,0.0,0.48,-0.01,-0.01,0,0,0,"0, 0, 0"
262,cortex parietal,0.0,0.66,-0.04,-0.0,0,0,0,"0, 0, 0"
263,cortex pcc,0.0,0.4,0.11,-0.0,0,0,0,"0, 0, 0"
264,cortex pfc,-0.0,0.11,-0.0,-0.0,0,0,0,"0, 0, 0"
265,cortex posterior,-0.0,0.37,0.09,-0.0,0,0,0,"0, 0, 0"
266,cortex ppc,0.0,0.52,-0.07,-0.01,0,0,0,"0, 0, 0"
267,cortex precuneus,0.0,0.67,0.09,-0.01,0,0,0,"0, 0, 0"
268,cortex suggest,-0.0,0.33,-0.01,-0.0,0,0,0,"0, 0, 0"
269,cortex superior,-0.0,0.43,-0.0,-0.0,0,0,0,"0, 0, 0"
270,cortex supplementary,-0.0,0.23,-0.03,-0.01,0,0,0,"0, 0, 0"
271,cortex thalamus,-0.0,0.53,0.1,-0.0,0,0,0,"0, 0, 0"
272,cortex ventral,-0.0,0.57,0.0,-0.0,0,0,0,"0, 0, 0"
273,cortex vlpfc,0.0,0.25,0.01,-0.0,0,0,0,"0, 0, 0"
274,cortex vmpfc,0.0,0.18,0.1,-0.01,0,0,0,"0, 0, 0"
275,cortical,0.0,0.59,-0.02,0.05,0,0,0,"0, 0, 0"
276,cortices,0.0,0.49,-0.05,-0.01,0,0,0,"0, 0, 0"
277,cortico,0.0,0.71,0.08,0.04,0,0,0,"0, 0, 0"
278,covert,0.0,0.36,-0.05,-0.0,0,0,0,"0, 0, 0"
279,craving,-0.0,0.3,0.01,-0.0,0,0,0,"0, 0, 0"
280,cross modal,-0.0,0.56,-0.02,-0.0,0,0,0,"0, 0, 0"
281,cue,-0.0,0.34,0.0,-0.0,0,0,0,"0, 0, 0"
282,cued,0.0,0.45,-0.02,-0.0,0,0,0,"0, 0, 0"
283,cues,0.0,0.39,0.04,-0.0,0,0,0,"0, 0, 0"
284,cuneus,-0.0,0.25,-0.1,-0.01,0,0,0,"0, 0, 0"
285,dacc,-0.0,0.38,0.02,0.0,0,0,0,"0, 0, 0"
286,daily life,-0.0,0.3,0.0,0.0,0,0,0,"0, 0, 0"
287,damage,-0.0,0.57,0.01,-0.0,0,0,0,"0, 0, 0"
288,decision,-0.0,0.43,0.03,-0.0,0,0,0,"0, 0, 0"
289,decision making,0.0,0.48,0.04,0.01,0,0,0,"0, 0, 0"
290,decision task,0.0,0.24,0.0,-0.0,0,0,0,"0, 0, 0"
291,decisions,-0.0,0.42,0.03,0.01,0,0,0,"0, 0, 0"
292,decline,0.0,0.32,0.0,-0.0,0,0,0,"0, 0, 0"
293,declines,0.0,0.31,-0.01,-0.01,0,0,0,"0, 0, 0"
294,decoding,0.0,0.0,-0.01,-0.0,0,0,0,"0, 0, 0"
295,default,-0.0,0.49,0.22,-0.01,0,0,0,"0, 0, 0"
296,default mode,-0.0,0.48,0.21,-0.01,0,0,0,"0, 0, 0"
297,default network,0.0,0.26,0.15,-0.01,0,0,0,"0, 0, 0"
298,deficient,-0.0,0.56,-0.01,-0.0,0,0,0,"0, 0, 0"
299,deficit,-0.0,0.41,0.01,-0.0,0,0,0,"0, 0, 0"
300,deficit hyperactivity,-0.0,0.41,-0.01,-0.0,0,0,0,"0, 0, 0"
301,deficits,-0.0,0.52,-0.0,-0.0,0,0,0,"0, 0, 0"
302,delay,-0.0,0.55,0.07,0.01,0,0,0,"0, 0, 0"
303,delayed,-0.0,0.53,0.0,0.0,0,0,0,"0, 0, 0"
304,demand,0.0,0.26,0.0,-0.0,0,0,0,"0, 0, 0"
305,demanding,0.0,0.43,-0.0,-0.0,0,0,0,"0, 0, 0"
306,demands,0.0,0.42,-0.07,-0.01,0,0,0,"0, 0, 0"
307,dementia,-0.0,0.54,0.04,-0.01,0,0,0,"0, 0, 0"
308,dependence,0.0,0.48,0.0,0.0,0,0,0,"0, 0, 0"
309,depressed,-0.0,0.32,0.0,-0.0,0,0,0,"0, 0, 0"
310,depression,0.0,0.37,0.02,-0.0,0,0,0,"0, 0, 0"
311,depressive,0.0,0.37,0.0,0.0,0,0,0,"0, 0, 0"
312,depressive disorder,0.0,0.38,0.0,-0.0,0,0,0,"0, 0, 0"
313,deprivation,-0.0,0.59,0.0,-0.0,0,0,0,"0, 0, 0"
314,depth,0.0,0.64,-0.02,-0.0,0,0,0,"0, 0, 0"
315,detect,0.0,0.64,0.0,0.0,0,0,0,"0, 0, 0"
316,detected,0.0,0.55,0.01,-0.0,0,0,0,"0, 0, 0"
317,detecting,-0.0,0.54,-0.01,-0.0,0,0,0,"0, 0, 0"
318,detection,0.0,0.44,0.0,0.0,0,0,0,"0, 0, 0"
319,detection task,0.0,0.42,-0.02,-0.0,0,0,0,"0, 0, 0"
320,development,-0.0,0.63,0.0,0.0,0,0,0,"0, 0, 0"
321,developmental,0.0,0.46,0.0,-0.0,0,0,0,"0, 0, 0"
322,diagnosis,0.0,0.6,-0.0,-0.0,0,0,0,"0, 0, 0"
323,difficult,-0.0,0.53,-0.01,-0.0,0,0,0,"0, 0, 0"
324,difficulty,0.0,0.45,-0.04,-0.0,0,0,0,"0, 0, 0"
325,digit,-0.0,0.59,-0.0,-0.0,0,0,0,"0, 0, 0"
326,dimension,-0.0,0.33,0.0,-0.0,0,0,0,"0, 0, 0"
327,dimensional,0.0,0.71,-0.02,-0.0,0,0,0,"0, 0, 0"
328,dimensions,0.0,0.5,-0.0,-0.0,0,0,0,"0, 0, 0"
329,disability,-0.0,0.56,0.0,-0.0,0,0,0,"0, 0, 0"
330,discriminate,0.0,0.25,0.0,-0.0,0,0,0,"0, 0, 0"
331,discriminated,0.0,0.28,-0.01,-0.0,0,0,0,"0, 0, 0"
332,discrimination,0.0,0.47,-0.0,-0.0,0,0,0,"0, 0, 0"
333,discrimination task,0.0,0.55,-0.01,-0.0,0,0,0,"0, 0, 0"
334,discriminative,-0.0,0.3,-0.03,-0.01,0,0,0,"0, 0, 0"
335,disease,-0.0,0.55,0.02,-0.0,0,0,0,"0, 0, 0"
336,disease ad,0.0,0.5,0.04,-0.0,0,0,0,"0, 0, 0"
337,disease pd,0.0,0.53,0.0,-0.0,0,0,0,"0, 0, 0"
338,diseases,-0.0,0.66,0.02,0.0,0,0,0,"0, 0, 0"
339,disgust,0.0,0.66,0.04,-0.01,0,0,0,"0, 0, 0"
340,disorder,-0.0,0.49,0.06,0.01,0,0,0,"0, 0, 0"
